Vehicle_ID,Lane_No,First_Frame,Last_Frame,First_Time_s,Last_Time_s,Vehicle_Type
1,1,0,0,0.0,0.0,car
2,2,0,0,0.0,0.0,bus
3,1,0,0,0.0,0.0,car
4,1,0,0,0.0,0.0,car
5,1,0,0,0.0,0.0,car
6,1,22,22,0.73,0.73,car
7,1,36,36,1.2,1.2,car
8,1,36,36,1.2,1.2,car
9,3,37,37,1.23,1.23,car
10,1,39,39,1.3,1.3,car
11,1,49,49,1.63,1.63,car
12,1,53,53,1.77,1.77,car
13,2,57,57,1.9,1.9,car
14,2,61,61,2.03,2.03,car
12,2,53,65,1.77,2.17,car
15,1,66,66,2.2,2.2,car
16,1,97,97,3.23,3.23,car
17,2,98,98,3.27,3.27,car
18,2,108,108,3.6,3.6,car
18,1,108,112,3.6,3.73,car
19,2,126,126,4.2,4.2,car
20,2,130,130,4.33,4.33,car
21,1,134,134,4.47,4.47,car
22,2,152,152,5.07,5.07,car
23,1,153,153,5.1,5.1,car
20,1,130,157,4.33,5.23,car
24,2,157,157,5.23,5.23,car
25,2,178,178,5.93,5.93,car
26,2,182,182,6.07,6.07,car
27,1,185,185,6.17,6.17,car
28,2,197,197,6.57,6.57,car
29,1,203,203,6.77,6.77,truck
30,1,212,212,7.07,7.07,car
24,1,157,216,5.23,7.2,car
31,2,219,219,7.3,7.3,car
32,2,223,223,7.43,7.43,car
33,1,226,226,7.53,7.53,car
34,1,246,246,8.2,8.2,car
35,2,248,248,8.27,8.27,car
36,2,249,249,8.3,8.3,car
37,1,255,255,8.5,8.5,car
38,1,257,257,8.57,8.57,bus
39,1,259,259,8.63,8.63,car
40,1,265,265,8.83,8.83,car
41,1,268,268,8.93,8.93,car
42,2,270,270,9.0,9.0,car
43,2,271,271,9.03,9.03,car
44,2,274,274,9.13,9.13,car
45,1,274,274,9.13,9.13,car
46,1,275,275,9.17,9.17,car
47,1,276,276,9.2,9.2,truck
48,2,276,276,9.2,9.2,car
49,2,288,288,9.6,9.6,car
50,1,288,288,9.6,9.6,truck
51,2,293,293,9.77,9.77,car
52,2,295,295,9.83,9.83,car
53,1,298,298,9.93,9.93,bus
54,1,310,310,10.33,10.33,car
55,1,317,317,10.57,10.57,car
54,2,310,323,10.33,10.77,car
56,1,327,327,10.9,10.9,car
43,1,271,331,9.03,11.03,car
57,1,333,333,11.1,11.1,car
58,1,335,335,11.17,11.17,car
59,2,338,338,11.27,11.27,car
60,1,343,343,11.43,11.43,car
61,2,357,357,11.9,11.9,car
57,2,333,364,11.1,12.13,car
62,1,365,365,12.17,12.17,car
63,1,369,369,12.3,12.3,car
64,2,382,382,12.73,12.73,car
65,1,383,383,12.77,12.77,car
66,2,401,401,13.37,13.37,car
67,2,430,430,14.33,14.33,bus
68,1,442,442,14.73,14.73,car
69,2,451,451,15.03,15.03,car
